as_of_date,ticker,contract_type,strike_price,expiration_date,VIX_close,close,imp_vol,delta,gamma,theta,vega,open,high,low,volume
2024-06-03,O:VIX240618P00090000,put,90.0,2024-06-18,13.109999656677246,,5.0,-0.9180615467366453,0.011391711036820481,-20.908880428906294,0.004023117525912768,,,,
2024-06-03,O:VIX240618P00095000,put,95.0,2024-06-18,13.109999656677246,,5.0,-0.9258400881619385,0.010561380676773686,-18.92274470539156,0.0037298765357749,,,,
2024-06-03,O:VIX240618P00100000,put,100.0,2024-06-18,13.109999656677246,,5.0,-0.9326857397382363,0.009803846714478958,-17.09329226155874,0.0034623444547441044,,,,
2024-06-03,O:VIX240618P00110000,put,110.0,2024-06-18,13.109999656677246,,5.0,-0.9440969375951531,0.008479697720768564,-13.845273027747467,0.0029947055718495723,,,,
2024-06-03,O:VIX240618P00120000,put,120.0,2024-06-18,13.109999656677246,,5.0,-0.9531280277576308,0.007370520679174833,-11.059860987143196,0.002602986577139073,,,,
2024-06-03,O:VIX240618P00130000,put,130.0,2024-06-18,13.109999656677246,,5.0,-0.960365119932993,0.0064367378959475155,-8.651851770888129,0.0022732101398282166,,,,
2024-06-03,O:VIX240618P00140000,put,140.0,2024-06-18,13.109999656677246,,5.0,-0.9662291324644816,0.005646522817739985,-6.55273960595211,0.0019941363360684817,,,,
2024-06-03,O:VIX240618P00150000,put,150.0,2024-06-18,13.109999656677246,,5.0,-0.9710278337771006,0.004974345571032502,-4.707579179956715,0.0017567489889870865,,,,
2024-06-03,O:VIX240618P00160000,put,160.0,2024-06-18,13.109999656677246,,5.0,-0.9749898898690034,0.004399701509865128,-3.072244894650856,0.0015538066402765447,,,,
2024-06-03,O:VIX240618P00170000,put,170.0,2024-06-18,13.109999656677246,,5.0,-0.9782876489771177,0.0039060682326695927,-1.6111837609455142,0.0013794742083494962,,,,
2024-06-03,O:VIX240618P00180000,put,180.0,2024-06-18,13.109999656677246,,5.0,-0.9810527013619763,0.0034800743011401806,-0.2956249961642694,0.001229029411573225,,,,
2024-06-03,O:VIX240717C00010000,call,10.0,2024-07-17,13.109999656677246,4.65,1.7869447555541993,0.7747083966078209,0.03689941975938518,-10.34577309531866,0.01366141976705463,4.65,4.65,4.65,1.0
2024-06-03,O:VIX240717C00010500,call,10.5,2024-07-17,13.109999656677246,,5.0,0.8410198317696087,0.01064615085166891,-22.968528941698928,0.011028788102756325,,,,
2024-06-03,O:VIX240717C00011000,call,11.0,2024-07-17,13.109999656677246,3.65,1.4698543872833254,0.7285617221380803,0.049551613338166794,-9.435929623886091,0.015090279535865406,3.42,3.65,3.42,43.0
2024-06-03,O:VIX240717C00011500,call,11.5,2024-07-17,13.109999656677246,3.15,1.318042009162903,0.7004418384153931,0.05791536101070432,-8.887558569712114,0.015815691788170435,3.04,3.15,3.04,3.0
